EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
CIMPRESS USA INCORPORATED,CMPR,NASDAQ,Cimpress PLC,listing,100.0,229
"KAIROS TECHNOLOGIES, INC",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,228
LENOVO GLOBAL TECHNOLOGY (UNITED STATES) INC,MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,228
"OMNICELL, INC.",OMCL,NASDAQ,"Omnicell, Inc.",listing,100.0,228
"EBATES PERFORMANCE MARKETING, INC.",,,,not_found,0.0,228
UNIVERSITY OF ALASKA,nan,nan,nan,not_traded,0.0,227
UNIVERSITY OF TEXAS AT SAN ANTONIO,nan,nan,nan,not_traded,0.0,227
"HOUZZ, INC.",,,,not_found,0.0,227
SIERRA CONSULTING INC,,,,not_found,0.0,227
"BDO USA, P.C.",,,,not_found,0.0,227
PIKE SOLUTIONS INC,,,,not_found,0.0,226
ADVANSOFT INTERNATIONAL INC,MFI,NASDAQ,mF International Limited,listing,89.0,226
CARDLYTICS INC.,CDLX,NASDAQ,"Cardlytics, Inc. Common Stock",listing,100.0,226
CDW LLC,CDW,NASDAQ,CDW Corporation,listing,100.0,226
POLARIS CONSULTING & SERVICES LTD,PII,NYSE,Polaris Inc.,search,100.0,226
"SANDISK TECHNOLOGIES, INC.",SNDK,NASDAQ,Sandisk Corporation,listing,100.0,226
TANVI IT SOLUTIONS INC,VIAV,NASDAQ,Viavi Solutions Inc.,listing,84.0,226
FEDERAL SOFT SYSTEMS INC.,,,,not_found,0.0,225
FORTHRIGHT SOFT INC.,,,,not_found,0.0,225
"TOAST, INC.",TOST,NYSE,"Toast, Inc.",search,100.0,225
VIRTU FINANCIAL OPERATING LLC,BVFL,NASDAQ,"BV Financial, Inc.",listing,85.0,225
VIASAT INC.,VSAT,NASDAQ,"ViaSat, Inc.",listing,100.0,225
"FRONTAGE LABORATORIES, INC.",,,,not_found,0.0,225
NISUM TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,225
BRUNSWICK CORPORATION,BC,NYSE,Brunswick Corporation,search,100.0,225
"BRIGHAM AND WOMEN'S PHYSICIANS ORGANIZATION, INC",nan,nan,nan,not_traded,0.0,225
COLLASYS LLC,,,,not_found,0.0,225
"AURORA MEDICAL GROUP, INC.",,,,not_found,0.0,225
YERRALPHA LLC,,,,not_found,0.0,225
SATURN TECH LLC,,,,not_found,0.0,224
INFOMATICS CORP,,,,not_found,0.0,224
SEAGEN INC.,PFE,NYSE,"Pfizer, Inc.",manual,100.0,224
TATA TECHNOLOGIES INC.,TATT,NASDAQ,TAT Technologies Ltd.,listing,96.0,224
TURNER CONSTRUCTION COMPANY,ROAD,NASDAQ,"Construction Partners, Inc.",listing,85.0,224
BANNER MEDICAL GROUP,BANR,NASDAQ,Banner Corporation,listing,100.0,224
SU ESCUELA LANGUAGE ACADEMY LLC,,,,not_found,0.0,224
VEENUS INFOTECHS CORPORATION,,,,not_found,0.0,224
"AROHAK, INC.",,,,not_found,0.0,223
"ALLIANCEBERNSTEIN, L.P.",AB,NYSE,AllianceBernstein Holding L.P.,search,100.0,223
PROVIDENCE HEALTH & SERVICES,,,,not_found,0.0,223
SINGULAR ANALYSTS INC,,,,not_found,0.0,223
"UMLAUT, INC.",,,,not_found,0.0,223
ABN TECH CORPORATION,,,,not_found,0.0,223
"CHRISTIANA CARE HEALTH SERVICES, INC.",,,,not_found,0.0,223
"ADVANCED TECHNOLOGY CONSULTING SERVICE, INC.",MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,223
"SUNERA TECHNOLOGIES, INC",TRSG,NASDAQ,Tungray Technologies Inc,listing,87.0,223
EPSOFT TECHNOLOGIES LLC,SOFI,NASDAQ,"SoFi Technologies, Inc.",listing,88.0,223
"HOULIHAN LOKEY, INC.",HLI,NYSE,"Houlihan Lokey, Inc.",search,100.0,222
"ENVESTNET FINANCIAL TECHNOLOGIES, INC.",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,222
LENDINGCLUB CORPORATION,LC,NYSE,LendingClub Corporation,search,100.0,222
SEATTLE CHILDREN'S HOSPITAL,nan,nan,nan,not_traded,0.0,222
MARSH USA INC.,MRSH,NYSE,Marsh,search,100.0,222
WICHITA STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,222
BECHTEL ENERGY INC.,,,,not_found,0.0,222
"BEIGENE USA, INC.",BGNE,,,manual,100.0,222
"EPIC GAMES, INC.",,,,not_found,0.0,222
"RAMSAI SOFTWARE SOLUTIONS, INC",,,,not_found,0.0,222
TEKSOFT SYSTEMS INC,,,,not_found,0.0,222
YALE-NEW HAVEN HOSPITAL,,,,not_found,0.0,222
MICROLAND LIMITED,,,,not_found,0.0,221
"EDELMAN FINANCIAL ENGINES, LLC",BVFL,NASDAQ,"BV Financial, Inc.",listing,85.0,221
"ACUITY BRANDS LIGHTING, INC.",AYI,NYSE,Acuity Inc.,manual,100.0,221
LITMUS7 SYSTEMS CONSULTING INC.,,,,not_found,0.0,221
"TECHNOSOFT ENGINEERING, INC.",,,,not_found,0.0,221
TEKTRA IT SERVICES INC.,,,,not_found,0.0,221
"TECHSMART GLOBAL, INC.",,,,not_found,0.0,221
TEKSKILLS INC,,,,not_found,0.0,221
ELECTRONIC ARTS INC.,EA,NASDAQ,Electronic Arts Inc.,listing,100.0,221
VSION TECHNOLOGIES INC,SINT,NASDAQ,"SiNtx Technologies, Inc.",listing,88.0,221
"AEVA, INC.",AEVA,NASDAQ,"Aeva Technologies, Inc.",listing,100.0,220
BANKERS HEALTHCARE GROUP LLC,,,,not_found,0.0,220
"HERBALIFE INTERNATIONAL OF AMERICA, INC.",MFI,NASDAQ,mF International Limited,listing,89.0,220
"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",MFI,NASDAQ,mF International Limited,listing,89.0,220
AMERICAN IT SOLUTIONS INC.,,,,not_found,0.0,220
"IT RESOURCES, INC.",AREC,NASDAQ,American Resources Corporation,listing,85.0,220
TALENT IT SERVICES INC,,,,not_found,0.0,220
"BELK, INC.",,,,not_found,0.0,220
"CONSUMERINFO.COM, INC.",,,,not_found,0.0,220
CSRA STATE AND LOCAL SOLUTIONS LLC,,,,not_found,0.0,220
MICROINFO INC,,,,not_found,0.0,220
PRIMORIS SYSTEMS LLC,,,,not_found,0.0,220
"THE PRINCIPAL CONSULTING, INC.",,,,not_found,0.0,220
"ICF INCORPORATED, LLC",ICFI,NASDAQ,"ICF International, Inc.",listing,100.0,219
CONTINENTAL CASUALTY COMPANY,CNA,NYSE,CNA Financial Corporation,manual,100.0,219
"APEX ANALYTIX, LLC",,,,not_found,0.0,219
CREDIT ACCEPTANCE CORPORATION,CACC,NASDAQ,Credit Acceptance Corporation,listing,100.0,219
ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,,,,not_found,0.0,219
"SAGGEZZA, INC.",,,,not_found,0.0,219
"INTELLISWIFT SOFTWARE, INC.",,,,not_found,0.0,219
ADVANITY TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,219
MULTIVISION LLC,,,,not_found,0.0,218
PROWESS IT SOLUTIONS LLC,,,,not_found,0.0,218
"UPGRADE, INC.",,,,not_found,0.0,218
WAKE FOREST UNIVERSITY HEALTH SCIENCES,,,,not_found,0.0,218
TRIZETTO CORPORATION - A COGNIZANT COMPANY,CTSH,NASDAQ,Cognizant Technology Solutions,manual,100.0,218
IFLOWSOFT SOLUTIONS INC,,,,not_found,0.0,218
"EMORY HEALTHCARE, INC.",,,,not_found,0.0,217
JAMES MADISON UNIVERSITY,,,,not_found,0.0,217
APPLIED MEDICAL RESOURCES CORPORATION,,,,not_found,0.0,217
BERING STRAIT SCHOOL DISTRICT,,,,not_found,0.0,217
NEW JERSEY INSTITUTE OF TECHNOLOGY,MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,217
OPEN TEXT INC.,OTEX,NASDAQ,Open Text Corporation,listing,100.0,217
SDVS TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,217
CIRA INFOTECH INC.,,,,not_found,0.0,217
UPMC PRESBYTERIAN SHADYSIDE,,,,not_found,0.0,217
"NORTH AMERICAN LIGHTING, INC.",,,,not_found,0.0,217
"JANE STREET GROUP, LLC",,,,not_found,0.0,217
FAIR ISAAC CORPORATION,FICO,NYSE,Fair Isaac Corporation,search,100.0,216
RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII,nan,nan,nan,not_traded,0.0,216
SANTANDER CONSUMER USA INC.,SAN,NYSE,"Banco Santander, S.A. Sponsored",manual,100.0,216
VITESSE GROUP INC,,,,not_found,0.0,216
ND GLOBAL CONSULTING SERVICES INC.,,,,not_found,0.0,216
"INNOVATIVE CONSULTING SOLUTIONS, LLC",,,,not_found,0.0,216
"HIGH QUARTILE, LLC",,,,not_found,0.0,216
FPT USA CORPORATION,,,,not_found,0.0,216
COOK COUNTY HEALTH,,,,not_found,0.0,216
CIPHERNINE INC,,,,not_found,0.0,216
ASURION LLC,,,,not_found,0.0,216
MOELIS & COMPANY GROUP LP,MC,NYSE,Moelis & Company,search,100.0,215
"AGILETAL TECHNOLOGIES, INC.",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,215
ANDHUS TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,215
"ARISTOCRAT TECHNOLOGIES, INC.",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,215
"INTELLIGRATED SYSTEMS, LLC",,,,not_found,0.0,215
LAZARD FRERES & CO. LLC,LAZ,NYSE,"Lazard, Inc.",manual,100.0,215
"BECKMAN COULTER, INC.",DHR,NYSE,Danaher Corporation,manual,100.0,215
DEEBECON INC,,,,not_found,0.0,215
DELTA DENTAL INSURANCE COMPANY,,,,not_found,0.0,215
"GATEWAY SOLUTIONS, INC.",,,,not_found,0.0,215
INTERSYSTEMS CORPORATION,,,,not_found,0.0,215
INVOLGIXS INC,,,,not_found,0.0,215
SAS INSTITUTE INC.,,,,not_found,0.0,215
VIRTUE GROUP LLC,,,,not_found,0.0,215
ECOM CONSULTING INCORPORATED,,,,not_found,0.0,214
"ICONSOFT, INC.",,,,not_found,0.0,214
GEEKSOFT LLC,,,,not_found,0.0,214
PAREXEL INTERNATIONAL LLC,MFI,NASDAQ,mF International Limited,listing,89.0,214
DOW JONES AND COMPANY,NWS,NASDAQ,News Corporation,manual,100.0,214
ADITI CONSULTING LLC,,,,not_found,0.0,214
NEUBERGER BERMAN GROUP LLC,NRO,NYSE MKT,70968,search,84.21052631578948,214
KATALYST HEALTHCARES & LIFE SCIENCES INC.,,,,not_found,0.0,214
MIRAFRA INC,,,,not_found,0.0,214
"STAXA TECHNOLOGIES, LLC",SBLX,NASDAQ,"StableX Technologies, Inc.",listing,89.0,214
FIRST OBJECT INC,,,,not_found,0.0,213
"GLASSDOOR, INC.",,,,not_found,0.0,213
GREENSKY MANAGEMENT COMPANY LLC,,,,not_found,0.0,213
INFOVILLE INC,,,,not_found,0.0,213
PHYSICIANS MUTUAL INSURANCE COMPANY,,,,not_found,0.0,213
"SATYA MARG SOLUTIONS, INC",,,,not_found,0.0,213
SLESHA INC,,,,not_found,0.0,213
WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,,,,not_found,0.0,213
WISSENIT INC,,,,not_found,0.0,213
SYNERGY TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,213
ECOLAB USA INC.,ECL,NYSE,Ecolab Inc.,search,100.0,213
BEAN INFOSYSTEMS LLC,,,,not_found,0.0,213
"TEVA PHARMACEUTICALS USA, INC.",LBRX,NASDAQ,LB Pharmaceuticals Inc,listing,90.0,212
"JOHNSON & JOHNSON SERVICES, INC.",JNJ,NYSE,Johnson & Johnson,search,100.0,212
AB TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,90.0,212
"CLAYCO, INC.",,,,not_found,0.0,212
ADIENT US LLC,ADNT,NYSE,Adient plc,manual,100.0,212
WOLTERS KLUWER UNITED STATES INC.,,,,not_found,0.0,212
ABBVIE US LLC,ABBV,NYSE,AbbVie Inc.,manual,100.0,212
ASTUTE SOLUTIONS LLC,,,,not_found,0.0,212
CITADEL ENTERPRISE AMERICAS LLC,,,,not_found,0.0,212
ELLIE MAE INC.,,,,not_found,0.0,212
"ENTERNET BUSINESS SYSTEMS, INC.",,,,not_found,0.0,212
INFO KEYS INC,,,,not_found,0.0,212
PROPHECY CONSULTING INC.,,,,not_found,0.0,212
SERVOTECH INC.,,,,not_found,0.0,212
"SVATS, INC",,,,not_found,0.0,212
"PAYCOR, INC.",PAYX,NASDAQ,"Paychex, Inc.",manual,100.0,212
INTELI PLATFORMS INC.,,,,not_found,0.0,211
"IBASE CONSULTING OF FAIRFIELD COUNTY, LLC",,,,not_found,0.0,211
HEXACORP LLC,,,,not_found,0.0,211
"PRODAPT NORTH AMERICA, INC.",,,,not_found,0.0,211
STEVENS INSTITUTE OF TECHNOLOGY,MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,211
PROPELSYS TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,211
"MILLENNIUM PHARMACEUTICALS, INC.",LBRX,NASDAQ,LB Pharmaceuticals Inc,listing,90.0,211
LIBERTY MUTUAL TECHNOLOGY GROUP INC.,MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,211
"FIGMA, INC.",FIG,NYSE,"Figma, Inc.",search,100.0,211
"SAAMA TECHNOLOGIES, LLC",AKAM,NASDAQ,"Akamai Technologies, Inc.",listing,91.0,210
"NB VENTURES, INC",LIVE,NASDAQ,Live Ventures Incorporated,listing,84.0,210
"MEDICAL MANAGEMENT INTERNATIONAL, INC.",ZJYL,NASDAQ,JIN MEDICAL INTERNATIONAL LTD.,listing,91.0,210
"CONDUENT STATE HEALTHCARE, LLC",CNDT,NASDAQ,Conduent Incorporated,listing,100.0,210
"SLACK TECHNOLOGIES, INC.",LSAK,NASDAQ,"Lesaka Technologies, Inc.",listing,86.0,210
UNIKON IT INC,,,,not_found,0.0,210
LINKLATERS LLP,,,,not_found,0.0,210
"LATITUDE 36, INC.",,,,not_found,0.0,210
INTELLIPRISE LLC,,,,not_found,0.0,210
TELADOC HEALTH INC.,TDOC,NYSE,"Teladoc Health, Inc.",search,100.0,210
"ENTELLECTS CORPORATION, INC",,,,not_found,0.0,210
EMPOWER PROFESSIONALS INC,,,,not_found,0.0,210
DATA S SOLUTIONS LLC,,,,not_found,0.0,210
"ONWARD TECHNOLOGIES, INC",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,209
XPRESS GLOBAL IT SOLUTIONS LLC,CLMB,NASDAQ,"Climb Global Solutions, Inc.",listing,84.0,209
"SAMSUNG ELECTRONICS AMERICA, INC",nan,nan,nan,not_traded,0.0,209
"TSMC TECHNOLOGY, INC.",MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,209
PERKINS EASTMAN ARCHITECTS DPC,,,,not_found,0.0,209
"KNOWLEDGE RESOURCES GROUP, INC",,,,not_found,0.0,209
COMPUGAIN LLC,,,,not_found,0.0,209
HIGHDATA SOFTWARE CORPORATION,,,,not_found,0.0,209
SEER SOLUTIONS INC,SEER,NASDAQ,"Seer, Inc.",listing,100.0,208
"ADVENT GLOBAL SOLUTIONS INC.,",CLMB,NASDAQ,"Climb Global Solutions, Inc.",listing,84.0,208
BLOOM ENERGY CORPORATION,BE,NYSE,Bloom Energy Corporation,search,100.0,208
"BMR HEALTH SERVICES, INC.",BTSG,NASDAQ,"BrightSpring Health Services, I",listing,88.0,208
CCC INTELLIGENT SOLUTIONS INC.,CCC,NASDAQ,CCC Intelligent Solutions Holdi,listing,100.0,208
ELITE IT TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,208
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,208
LEAR CORPORATION,LEA,NYSE,Lear Corporation,search,100.0,208
"NERDWALLET, INC.",NRDS,NASDAQ,"NerdWallet, Inc.",listing,100.0,208
PRODIGY TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,208
"SAI TECHNOLOGIES, LLC",SIGA,NASDAQ,SIGA Technologies Inc.,listing,90.0,208
"AVIATRIX SYSTEMS, INC.",,,,not_found,0.0,208
DEVCARE SOLUTIONS LIMITED,,,,not_found,0.0,208
ORANGEBURG COUNTY SCHOOL DISTRICT,,,,not_found,0.0,208
"SQUARESPACE, INC.",XYZ,NYSE,"Block, Inc.",manual,100.0,208
THE BROOKDALE HOSPITAL MEDICAL CENTER,,,,not_found,0.0,208
UNISOFT SOLUTIONS LLC,,,,not_found,0.0,208
"UNITED IT SOLUTIONS, INC",,,,not_found,0.0,208
"AON CONSULTING, INC.",AON,NYSE,Aon plc,search,100.0,207
PANASONIC CORPORATION OF NORTH AMERICA (PNA),,,,not_found,0.0,207
"DOMINO'S PIZZA, INC.",DPZ,NASDAQ,Domino's Pizza Inc,listing,100.0,207
"STANLEY BLACK AND DECKER, INC.",SWK,NYSE,"Stanley Black & Decker, Inc.",manual,100.0,207
SATHRAM CORPORATION,,,,not_found,0.0,207
INTELLATIV INC,,,,not_found,0.0,207
JASPER COUNTY SCHOOL DISTRICT,,,,not_found,0.0,207
"ITECHSTACK, INC.",,,,not_found,0.0,207
"GUSTO, INC.",,,,not_found,0.0,207
NIELSEN CONSUMER LLC,,,,not_found,0.0,206
THE UNIVERSITY OF MEMPHIS,nan,nan,nan,not_traded,0.0,206
"TECH MAHINDRA TECHNOLOGIES, INC.",nan,nan,nan,not_traded,0.0,206
"SE2, LLC",,,,not_found,0.0,206
"ROCHE SEQUENCING SOLUTIONS, INC.",,,,not_found,0.0,206
NTT DATA BUSINESS SOLUTIONS INC.,nan,nan,nan,not_traded,0.0,206
"MEDIMPACT HEALTHCARE SYSTEMS, INC.",,,,not_found,0.0,206
LEHIGH UNIVERSITY,,,,not_found,0.0,206
HYATT CORPORATION,H,NYSE,Hyatt Hotels Corporation,manual,100.0,206
FLORIDA POWER & LIGHT COMPANY,NEE,NYSE,"NextEra Energy, Inc.",manual,100.0,206
BNP PARIBAS,SAP,NYSE,SAP  SE,manual,100.0,206
WESTERN ALLIANCE BANK,WAL,NYSE,Western Alliance Bancorporation,manual,100.0,205
"ESG AUTOMOTIVE, INC.",REE,NASDAQ,REE Automotive Ltd.,listing,85.0,205
"GAVS TECHNOLOGIES N.A., INC",AEVA,NASDAQ,"Aeva Technologies, Inc.",listing,88.0,205
ITG TECHNOLOGIES INC,SIGA,NASDAQ,SIGA Technologies Inc.,listing,90.0,205
THE UNIVERSITY OF KANSAS PHYSICIANS,nan,nan,nan,not_traded,0.0,205
UNISYS CORPORATION,UIS,NYSE,Unisys Corporation New,search,100.0,205
IROBOT CORPORATION,,,,not_found,0.0,205
MICHIGAN TECHNOLOGICAL UNIVERSITY,,,,not_found,0.0,205
FORTISVIEW LLC,,,,not_found,0.0,205
"INFOLOB SOLUTIONS, INC.",,,,not_found,0.0,205
"TECHNOGEN, INC.",,,,not_found,0.0,205
"SECUREWORKS, INC.",,,,not_found,0.0,205
PANASONIC CORPORATION OF NORTH AMERICA,,,,not_found,0.0,205
MICRO FOCUS LLC,OTEX,NASDAQ,Open Text Corporation,manual,100.0,205
"INFORMATION TECHNOLOGY AND MANAGEMENT CONSULTING, INC.",MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,204
"UNIVERSITY HOSPITALS MEDICAL GROUP, INC.",,,,not_found,0.0,204
LSU HEALTH SCIENCES CENTER - SHREVEPORT,,,,not_found,0.0,204
ENQUERO INC.,,,,not_found,0.0,204
CODE TECH INC,,,,not_found,0.0,204
CAERUSGLOBAL INC.,,,,not_found,0.0,204
"VERKADA, INC.",,,,not_found,0.0,204
BIOMARIN PHARMACEUTICAL INC.,BMRN,NASDAQ,BioMarin Pharmaceutical Inc.,listing,100.0,204
"MASTEC SERVICES COMPANY, INC.",,,,not_found,0.0,203
WING AVIATION LLC,,,,not_found,0.0,203
SIEMENS CORPORATION,,,,not_found,0.0,203
"CTC TRADING GROUP, LLC",,,,not_found,0.0,203
VYZER SOLUTIONS INC,,,,not_found,0.0,203
BIOGEN INC.,BIIB,NASDAQ,Biogen Inc.,listing,100.0,203
"SYMBIOUN TECHNOLOGIES, INC.",BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,203
STIER SOLUTIONS INC,,,,not_found,0.0,203
"FOOT LOCKER CORPORATE SERVICES, INC",FL,,,manual,100.0,202
GBT US LLC,GBTG,NYSE,"Global Business Travel Group, I",manual,100.0,202
"HSBC BANK USA, N.A",HSBC,NYSE,"HSBC Holdings, plc.",manual,100.0,202
INTALENT LLC,,,,not_found,0.0,202
"MAANTIC, INC.",,,,not_found,0.0,202
S2 IT GROUP LLC,,,,not_found,0.0,202
"UNITED CEREBRAL PALSY ASSOCIATIONS OF NYS, INC.",,,,not_found,0.0,202
"VYZER SOLUTIONS, INC",,,,not_found,0.0,202
CSC HOLDINGS LLC,CCHH,NASDAQ,CCH Holdings Ltd,listing,91.0,202
XCEED TECHNOLOGIES INC.,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,202
"TOSHIBA GLOBAL COMMERCE SOLUTIONS, INC.",CLMB,NASDAQ,"Climb Global Solutions, Inc.",listing,84.0,202
LGL TECHNOLOGIES LLC,ACLS,NASDAQ,"Axcelis Technologies, Inc.",listing,85.0,202
LAMBDANETS SERVICES LLC,,,,not_found,0.0,201
OMSAI COM LLC,,,,not_found,0.0,201
HUMETIS TEHNOLOGIES INC,,,,not_found,0.0,201
DIMENSIONAL FUND ADVISORS LP,,,,not_found,0.0,201
"CONCEPT SOFTWARE & SERVICES, INC.",,,,not_found,0.0,201
WEBJECT SYSTEMS INC,,,,not_found,0.0,201
"RUTGERS,THE STATE UNIVERSITY OF NEW JERSEY",nan,nan,nan,not_traded,0.0,201
EDU INFOTECH INTERNATIONAL RESOURCES INC,MFI,NASDAQ,mF International Limited,listing,89.0,201
"CAPITAL INFO GROUP, INC.",BCG,NASDAQ,"Binah Capital Group, Inc.",listing,86.0,201
"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",BLK,NYSE,"BlackRock, Inc.",manual,100.0,201
SOFTPATH TECHNOLOGIES LLC,TATT,NASDAQ,TAT Technologies Ltd.,listing,86.0,201
ICONSOFT INC.,,,,not_found,0.0,201
"AVENTERPRISE, INC",,,,not_found,0.0,200
"4CONSULTING, INC",,,,not_found,0.0,200
ALIGHT SOLUTIONS LLC,ALIT,NYSE,"Alight, Inc.",search,100.0,200
"NUANCE COMMUNICATIONS, INC.",SBAC,NASDAQ,SBA Communications Corporation,listing,87.0,200
"MODERNA SERVICES, INC.",MRNA,NASDAQ,"Moderna, Inc.",listing,100.0,200
"DUOLINGO, INC.",DUOL,NASDAQ,"Duolingo, Inc.",listing,100.0,200
OBJECT EXPERTS LLC,,,,not_found,0.0,200
"LOANDEPOT.COM, LLC",LDI,NYSE,"loanDepot, Inc.",manual,100.0,200
ANJUS LLC,,,,not_found,0.0,200
"DISCORD, INC.",,,,not_found,0.0,199
"INDUS GROUP, INC.",,,,not_found,0.0,199
IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION,,,,not_found,0.0,199
ANJS TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,199
BOOZ ALLEN HAMILTON INC.,BAH,NYSE,Booz Allen Hamilton Holding Cor,search,100.0,199
EMAESTRO TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,199
KENNESAW STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,199
SAFE CODE SOFT TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,199
WSP USA BUILDINGS INC.,nan,nan,nan,not_traded,0.0,199
POSITIVE GROUP LLC,,,,not_found,0.0,198
"WAVICLE DATA SOLUTIONS, LLC",,,,not_found,0.0,198
"INDEGENE, INC",,,,not_found,0.0,198
SPLINT PHARMA LLC,,,,not_found,0.0,198
"E2OPEN, LLC",,,,not_found,0.0,198
"HORIZON SOFT SOLUTIONS, INC",,,,not_found,0.0,198
ALREK BUSINESS SOLUTIONS INC,,,,not_found,0.0,198
3M COMPANY,MMM,NYSE,3M Company,search,100.0,198
"PUBMATIC, INC.",PUBM,NASDAQ,"PubMatic, Inc.",listing,100.0,197
"XTGLOBAL, INC.",,,,not_found,0.0,197
BROADRANGE TECHNOLOGIES INC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,197
"ADDEPAR, INC.",,,,not_found,0.0,197
"ANTHROPIC, PBC",,,,not_found,0.0,197
CELORIS TECH LLC,,,,not_found,0.0,197
"COLLABRIUM SYSTEMS, LLC",,,,not_found,0.0,197
"CONVOY, INC.",,,,not_found,0.0,197
"DUN & BRADSTREET, INC.",,,,not_found,0.0,197
JACKSON PUBLIC SCHOOL DISTRICT,,,,not_found,0.0,197
"PETCO ANIMAL SUPPLIES STORES, INC.",,,,not_found,0.0,197
SV IT INC,,,,not_found,0.0,197
SYNAPSE DESIGN AUTOMATION INC.,,,,not_found,0.0,197
"TREND MICRO, INC.",,,,not_found,0.0,197
AGAP TECHNOLOGIES INC,PGY,NASDAQ,Pagaya Technologies Ltd.,listing,88.0,197
THE GEORGE WASHINGTON UNIVERSITY,nan,nan,nan,not_traded,0.0,196
APTTUS CORPORATION,,,,not_found,0.0,196
SP TECH RESOURCES INC,,,,not_found,0.0,196
"EOG RESOURCES, INC.",RGCO,NASDAQ,RGC Resources Inc.,listing,84.0,196
E-BUSINESS INTERNATIONAL INC,MFI,NASDAQ,mF International Limited,listing,89.0,196
"CALIX, INC.",CALX,NYSE,"Calix, Inc",search,100.0,196
"WHOLE FOODS MARKET SERVICES, INC.",,,,not_found,0.0,196
"AVANT, LLC",,,,not_found,0.0,196
TECHNOSOFT GROUP INC,,,,not_found,0.0,196
"NEXSOLV, INC.",,,,not_found,0.0,196
MICHAELS STORES INC.,,,,not_found,0.0,196
"IXL LEARNING, INC.",,,,not_found,0.0,196
DETROIT DIESEL CORPORATION,,,,not_found,0.0,196
"DANA AUTOMOTIVE SYSTEMS GROUP, LLC",,,,not_found,0.0,196
BYTE LINK SYSTEMS INC,,,,not_found,0.0,196
"FUJITSU NETWORK COMMUNICATIONS, INC.",SBAC,NASDAQ,SBA Communications Corporation,listing,87.0,195
LELAND STANFORD JR. UNIV/SLAC NATIONAL ACCELERATOR LAB,nan,nan,nan,not_traded,0.0,195
MINISOFT TECHNOLOGIES LLC,BTQ,NASDAQ,BTQ Technologies Corp.,listing,85.0,195
"SIARAA TECHNOLOGIES, INC.",SIGA,NASDAQ,SIGA Technologies Inc.,listing,88.0,195
UNIVERSITY OF KANSAS MEDICAL CENTER,nan,nan,nan,not_traded,0.0,195
DYNAMIC TECHNOLOGY INC.,MAPS,NASDAQ,"WM Technology, Inc.",listing,86.0,195
SPARTAN SOLUTIONS INC.,,,,not_found,0.0,195
SANCTITYINTERNATIONAL LLC,,,,not_found,0.0,195
"NEXTERA ENERGY RESOURCES, LLC",,,,not_found,0.0,195
"LACEWORK, INC.",,,,not_found,0.0,195
"INSIGHT DIRECT USA, INC.",,,,not_found,0.0,195
"DELTA COMPUTER CONSULTING, INC.",,,,not_found,0.0,195
"TRINITY CONSULTANTS, INC.",,,,not_found,0.0,195
"SPREETAIL, LLC",,,,not_found,0.0,195
