EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
U.S. BANK NATIONAL ASSOCIATION,USB,NYSE,U.S. Bancorp,manual,100.0,4285
"MASTECH DIGITAL TECHNOLOGIES, INC.",MHH,NYSE AMEX,"Mastech Digital, Inc",manual,100.0,4015
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",AXP,NYSE,American Express Company,manual,100.0,4007
VISA TECHNOLOGY & OPERATIONS LLC,V,NYSE,Visa Inc.,manual,100.0,3942
"T-MOBILE USA, INC.",TMUS,NASDAQ,"T-Mobile US, Inc.",manual,100.0,3937
"BLACKROCK FINANCIAL MANAGEMENT, INC.",BLK,NYSE,"BlackRock, Inc.",manual,100.0,3909
"ADVANCED MICRO DEVICES, INC.",AMD,NASDAQ,"Advanced Micro Devices, Inc.",listing,100.0,3849
"FIS MANAGEMENT SERVICES, LLC",FIS,NYSE,Fidelity National Information S,manual,100.0,3790
"GRANDISON MANAGEMENT, INC.",nan,nan,nan,not_traded,0.0,3758
KPMG LLP,nan,nan,nan,not_traded,0.0,3758
PRICEWATERHOUSECOOPERS LLP,nan,nan,nan,not_traded,0.0,3715
DFS CORPORATE SERVICES LLC,DFS,nan,nan,manual,100.0,3638
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,NYSE,Hewlett Packard Enterprise Comp,manual,100.0,3612
"WELLS FARGO BANK, N.A.",WFC,NYSE,Wells Fargo & Company,manual,100.0,3610
POPULUS GROUP LLC,nan,nan,nan,not_traded,0.0,3562
"MICRON TECHNOLOGY, INC.",MU,NASDAQ,"Micron Technology, Inc.",listing,100.0,3530
MAYO CLINIC,nan,nan,nan,not_traded,0.0,3484
"EXPEDIA, INC.",EXPE,NASDAQ,"Expedia Group, Inc.",listing,100.0,3445
FACEBOOK INC.,META,NASDAQ,"Meta Platforms, Inc.",manual,100.0,3437
BLOOMBERG L.P.,nan,nan,nan,not_traded,0.0,3290
"DOORDASH, INC.",DASH,NASDAQ,"DoorDash, Inc.",listing,100.0,3259
GENERAL MOTORS COMPANY,GM,NYSE,General Motors Company,search,100.0,3217
JOHNS HOPKINS UNIVERSITY,nan,nan,nan,not_traded,0.0,3215
"AMAZON DATA SERVICES, INC",AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,3176
BARCLAYS SERVICES CORP.,BCS,NYSE,Barclays PLC,manual,100.0,3159
"THE LELAND STANFORD, JR UNIVERSITY",nan,nan,nan,not_traded,0.0,3153
"THE BOSTON CONSULTING GROUP, INC.",nan,nan,nan,not_traded,0.0,3108
